Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sweden,189,https://www.countryflags.io/se/flat/64.png,"2,310,000","2,310,000","2,376,000","2,388,000","2,573,000","2,595,000","3,828,000","4,108,000","4,276,000","4,268,000","4,676,000","4,883,000","4,729,000","5,224,000","4,555,000","4,899,000","5,183,000","5,222,000","5,146,000","5,229,000","5,660,000","6,482,000","6,782,000","7,054,000"
Eswatini,190,,300,300,315,269,284,289,281,283,256,461,459,837,873,869,756,908,868,879,888,968,939,873,947,921
Sint Maarten (Dutch part),191,,460,460,365,439,458,445,432,403,381,428,475,468,468,469,475,440,443,424,457,467,500,505,528,402
Seychelles,192,,121,121,131,130,128,125,130,130,132,122,121,129,141,161,159,158,175,194,208,230,233,276,303,350
Syrian Arab Republic,193,,815,815,830,891,"1,267,000","1,386,000","2,100,000","2,192,000","2,661,000","2,598,000","3,399,000","3,571,000","4,231,000","4,158,000","5,430,000","6,092,000","8,546,000","5,070,000",,,,,,
Turks and Caicos Islands,194,,79,79,88,93,111,121,152,166,155,164,173,176,248,265,352,351,281,354,"291,7","290,6",357,386,454,"416,4"
Chad,195,,,,,,,,,,,,,,46,77,61,70,71,77,86,97,119,120,98,87
Togo,196,,53,53,58,92,69,70,60,57,58,61,83,81,94,86,74,150,202,300,235,327,282,273,338,496
Thailand,197,https://www.countryflags.io/th/flat/64.png,"6,952,000","6,952,000","7,244,000","7,294,000","7,843,000","8,651,000","9,579,000","10,133,000","10,873,000","10,082,000","11,737,000","11,567,000","13,822,000","14,464,000","14,584,000","14,150,000","15,936,000","19,230,000","22,354,000","26,547,000","24,810,000","29,923,000","32,530,000","35,592,000"
Tajikistan,198,,,,700,"2,1","3,2","4,5","7,7","5,2",,,,,,,325,207,160,183,244,208,213,414,344,431
Turkmenistan,199,,218,218,217,257,300,,"3,4","5,2","10,8","8,2","14,8","11,6","5,6","8,2",,,,,,,,,,
Timor-Leste,200,,,,,,,,,,,,,,14,22,36,44,40,51,58,79,60,62,66,74
Tonga,201,,29,29,27,26,27,31,35,32,37,40,41,42,39,46,50,"45,7","47,1",46,"47,4","48,2","50,4","53,8","59,1","62,5"
Trinidad and Tobago,202,,260,260,266,324,334,358,399,383,384,409,443,463,461,449,437,419,388,431,455,434,412,440,409,395
Tunisia,203,,"4,120,000","4,120,000","3,885,000","4,263,000","4,718,000","4,832,000","5,058,000","5,387,000","5,064,000","5,114,000","5,998,000","6,378,000","6,550,000","6,762,000","7,050,000","7,797,000","7,828,000","5,746,000","6,999,000","7,352,000","7,163,000","5,359,000","5,724,000","7,052,000"
